geo,trade_type,partner,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
HU,Import,EXT_EU28,39691.0,39205.0,42638.0,43414.0,44517.0,42524.0,34637.0,46588.0,42152.0,36838.0,31894.0,30283.0,29876.0,27809.0,,,
IE,Export,EU28,117688.0,100981.0,100676.0,107156.0,104377.0,102147.0,101788.0,107478.0,112635.0,109721.0,112523.0,106013.0,102371.0,123274.0,,,
IE,Export,EXT_EU28,103270.0,82603.0,74968.0,74623.0,76285.0,73604.0,64441.0,63474.0,64736.0,63464.0,63749.0,62440.0,61626.0,63414.0,,,
IE,Import,EU28,88441.0,80719.0,73116.0,65361.0,66518.0,61260.0,58921.0,79827.0,85608.0,79791.0,73529.0,65470.0,59837.0,74358.0,,,
IE,Import,EXT_EU28,44620.0,40724.0,35513.0,32349.0,29181.0,29675.0,30988.0,34350.0,36716.0,36676.0,36696.0,33914.0,35437.0,36469.0,,,
IT,Export,EU28,454568.0,437646.0,419657.0,423734.0,425867.0,391045.0,340646.0,440677.0,449962.0,411570.0,371984.0,356317.0,334330.0,331930.0,,,
IT,Export,EXT_EU28,373195.0,360094.0,360807.0,356629.0,325941.0,283770.0,242821.0,297355.0,279526.0,252457.0,227163.0,210672.0,194902.0,206197.0,,,
IT,Import,EU28,431563.0,407780.0,400335.0,405611.0,434489.0,405740.0,344468.0,420334.0,433703.0,408858.0,370322.0,357848.0,335217.0,330281.0,,,
IT,Import,EXT_EU28,305869.0,306098.0,321668.0,354975.0,368367.0,329039.0,250748.0,343766.0,312978.0,296073.0,247741.0,212282.0,190804.0,192172.0,,,
LT,Export,EU28,28173.0,26716.0,27225.0,27851.0,24743.0,19107.0,15185.0,19406.0,16222.0,14350.0,12475.0,10060.0,7738.0,7677.0,,,
LT,Export,EXT_EU28,17794.0,22006.0,21866.0,18243.0,15560.0,12193.0,8410.0,12749.0,8797.0,8177.0,6504.0,4885.0,4578.0,3395.0,,,
LT,Import,EU28,34023.0,33964.0,31617.0,28683.0,25909.0,19987.0,15514.0,24349.0,24360.0,19374.0,14875.0,12656.0,9573.0,9056.0,,,
LT,Import,EXT_EU28,16770.0,17815.0,20798.0,21075.0,19741.0,15320.0,10732.0,17940.0,11266.0,11485.0,10114.0,7260.0,7478.0,6861.0,,,
