partner,currency,stk_flow,sitc06,geo\time	2014 	2012 	2010 
EXT_EU,EUR,IMP,SITC0-4A,FI	42.2 	41 	65.9 
EXT_EU,EUR,IMP,SITC0-4A,FR	49.7 	49.5 	55.7 
EXT_EU,EUR,IMP,SITC0-4A,HR	72.7 	: 	: 
EXT_EU,EUR,IMP,SITC0-4A,HU	14.5 	11.6 	15.5 
EXT_EU,EUR,IMP,SITC0-4A,IE	29.8 	22.7 	33.3 
EXT_EU,EUR,IMP,SITC0-4A,IT	56.6 	61 	60.1 
EXT_EU,EUR,IMP,SITC0-4A,LT	70.1 	74.2 	73.5 
EXT_EU,EUR,IMP,SITC0-4A,LU	59.4 	63.2 	52.2 
EXT_EU,EUR,IMP,SITC0-4A,LV	78.2 	73.4 	56.4 
EXT_EU,EUR,IMP,SITC0-4A,MT	31.9 	35.9 	34.5 
EXT_EU,EUR,IMP,SITC0-4A,NL	47.2 	37.8 	46.8 
EXT_EU,EUR,IMP,SITC0-4A,PL	28.9 	31 	34.6 
EXT_EU,EUR,IMP,SITC0-4A,PT	42.8 	35.9 	34 
EXT_EU,EUR,IMP,SITC0-4A,RO	49.7 	63.6 	63 
EXT_EU,EUR,IMP,SITC0-4A,SE	41.2 	36.3 	27.1 
EXT_EU,EUR,IMP,SITC0-4A,SI	69.1 	55.9 	54.7 
EXT_EU,EUR,IMP,SITC0-4A,SK	45.2 	23.1 	8.7 
EXT_EU,EUR,IMP,SITC0-4A,UK	6 	5.1 	4.8 
EXT_EU,EUR,IMP,SITC33,AT	99.9 	99.9 	99.9 
EXT_EU,EUR,IMP,SITC33,BE	4.8 	2.3 	5.4 
EXT_EU,EUR,IMP,SITC33,BG	0.5 	0.3 	0.3 
EXT_EU,EUR,IMP,SITC33,CY	11 	6.1 	4.1 
EXT_EU,EUR,IMP,SITC33,CZ	17.9 	16.3 	0.9 
EXT_EU,EUR,IMP,SITC33,DE	50.6 	49.8 	49.8 
EXT_EU,EUR,IMP,SITC33,DK	1.4 	0.7 	0.6 
EXT_EU,EUR,IMP,SITC33,EA	15.6 	23.3 	23.3 
EXT_EU,EUR,IMP,SITC33,EE	4.7 	14.6 	3.4 
EXT_EU,EUR,IMP,SITC33,EL	0.3 	0.3 	5.5 
EXT_EU,EUR,IMP,SITC33,ES	3.4 	39.2 	37.9 
EXT_EU,EUR,IMP,SITC33,EU	12.2 	18.1 	18.3 
EXT_EU,EUR,IMP,SITC33,FI	0.1 	0.9 	0.8 
EXT_EU,EUR,IMP,SITC33,FR	16.8 	17.1 	7.1 
EXT_EU,EUR,IMP,SITC33,HR	1.2 	: 	: 
EXT_EU,EUR,IMP,SITC33,HU	1.2 	0.2 	0.1 
EXT_EU,EUR,IMP,SITC33,IE	6.7 	18.3 	18 
EXT_EU,EUR,IMP,SITC33,IT	0.8 	28.2 	33.1 
EXT_EU,EUR,IMP,SITC33,LT	2.7 	1.9 	0.9 
EXT_EU,EUR,IMP,SITC33,LU	35.8 	89.1 	72.1 
EXT_EU,EUR,IMP,SITC33,LV	23.9 	17.3 	14 
EXT_EU,EUR,IMP,SITC33,MT	5.6 	7.8 	21.6 
EXT_EU,EUR,IMP,SITC33,NL	6.8 	4.4 	8.3 
EXT_EU,EUR,IMP,SITC33,PL	1.2 	0.7 	0.8 
EXT_EU,EUR,IMP,SITC33,PT	0.1 	1.3 	3.1 
EXT_EU,EUR,IMP,SITC33,RO	0.2 	0.2 	1.1 
EXT_EU,EUR,IMP,SITC33,SE	0.4 	0 	0 
EXT_EU,EUR,IMP,SITC33,SI	25.2 	7.3 	15 
EXT_EU,EUR,IMP,SITC33,SK	0 	0.1 	0.4 
EXT_EU,EUR,IMP,SITC33,UK	0 	0 	0 
EXT_EU,EUR,IMP,SITC5-8,AT	52.9 	52.6 	53.2 
EXT_EU,EUR,IMP,SITC5-8,BE	33.8 	36.7 	43.8 
EXT_EU,EUR,IMP,SITC5-8,BG	57.9 	55 	58.8 
EXT_EU,EUR,IMP,SITC5-8,CY	51.6 	36.6 	38.1 
EXT_EU,EUR,IMP,SITC5-8,CZ	30 	29.4 	27.4 
EXT_EU,EUR,IMP,SITC5-8,DE	47.8 	48 	46.5 
EXT_EU,EUR,IMP,SITC5-8,DK	23.3 	25.5 	25.9 
EXT_EU,EUR,IMP,SITC5-8,EA	46.2 	45.3 	46.2 
EXT_EU,EUR,IMP,SITC5-8,EE	34.2 	35.4 	38.2 
EXT_EU,EUR,IMP,SITC5-8,EL	40.7 	42.8 	38.5 
EXT_EU,EUR,IMP,SITC5-8,ES	51.6 	50.7 	54.4 
EXT_EU,EUR,IMP,SITC5-8,EU	38.7 	37.7 	38.3 
EXT_EU,EUR,IMP,SITC5-8,FI	43.2 	48.6 	59.1 
EXT_EU,EUR,IMP,SITC5-8,FR	49.8 	48.6 	48.4 
